"KABUPATEN_ID","KABUPATEN_CODE","KABUPATEN_NAME","PROPINSI_ID"
"12","12","Kab. Aceh Barat Daya","1"
"13","13","Kab. Gayo Lues","1"
"14","14","Kab. Aceh Jaya","1"
"15","15","Kab. Nagan Raya","1"
"16","16","Kab. Aceh Tamiang","1"
"17","17","Kab. Bener Meriah","1"
"18","18","Kab. Pidie Jaya","1"
"19","71","Kota Banda Aceh","1"
"20","72","Kota Sabang","1"
"21","73","Kota Lhokseumawe","1"
"22","74","Kota Langsa","1"
"23","75","Kota Subulussalamuu","1"
"24","1","Kab. Tapanuli Tengah","2"
"25","2","Kab. Tapanuli Utara","2"
"26","3","Kab. Tapanuli Selatan","2"
"27","4","Kab. Nias","2"
"28","5","Kab. Langkat","2"
"29","6","Kab. Karo","2"
"30","7","Kab. Deli Serdang","2"
"31","8","Kab. Simalungun","2"
"32","9","Kab. Asahan","2"
"33","10","Kab. Labuhanbatu","2"
"34","11","Kab. Dairi","2"
"35","12","Kab. Toba Samosir","2"
"36","13","Kab. Mandailing Natal","2"
"37","14","Kab. Nias Selatan","2"
"38","15","Kab. Pakpak Bharat","2"
"39","16","Kab Humbang Hasundutan","2"
"40","17","Kab. Samosir","2"
"41","18","Kab. Serdang Bedagai","2"
"42","19","Kab. Batu Bara","2"
"43","20","Kab. Padang Lawas Utara","2"
"44","21","Kab. Padang Lawas","2"
"45","22","Kab. Labuhanbatu Selatan","2"
"46","23","Kab. Labuhanbatu Utara","2"
"47","24","Kab. Nias Utara","2"
"48","25","Kab. Nias Barat","2"
"49","71","Kota Medan","2"
"50","72","Kota Pematang Siantar","2"
"51","73","Kota Sibolga","2"
"52","74","Kota Tanjung Balai","2"
"53","75","Kota Binjai","2"
"54","76","Kota Tebing Tinggi","2"
"55","77","Kota Padang Sidempuan","2"
"56","78","Kota Gunungsitoli","2"
"57","1","Kab. Pesisir Selatan","3"
"58","2","Kab. Solok","3"
"59","3","Kab. Sijunjung","3"
"60","4","Kab. Tanah Datar","3"
"61","5","Kab. Padang Pariaman","3"
"62","6","Kab. Agam","3"
"63","7","Kab. Lima Puluh Kota","3"
"64","8","Kab. Pasaman","3"
"65","9","Kab. Kepulauan Mentawai","3"
"66","10","Kab. Dharmasraya","3"
"67","11","Kab. Solok Selatan","3"
"68","12","Kab. Pasaman Barat","3"
"69","71","Kota Padang","3"
"70","72","Kota Solok","3"
"71","73","Kota Sawahlunto","3"
"72","74","Kota Padang Panjang","3"
"73","75","Kota Bukittinggi","3"
"74","76","Kota Payakumbuh","3"
"75","77","Kota Pariaman","3"
"76","1","Kab. Kampar","4"
"77","2","Kab. Indragiri Hulu","4"
"78","3","Kab. Bengkalis","4"
"79","4","Kab. Indragiri Hilir","4"
"80","5","Kab. Pelalawan","4"
"81","6","Kab. Rokan Hulu","4"
"82","7","Kab. Rokan Hilir","4"
"83","8","Kab. Siak","4"
"84","9","Kab. Kuantan Singingi","4"
"85","10","Kab. Kepulauan Meranti","4"
"86","71","Kota Pekanbaru","4"
"87","72","Kota Dumai","4"
"88","1","Kab. Kerinci","5"
"89","2","Kab. Merangin","5"
"90","3","Kab. Sarolangun","5"
"91","4","Kab. Batanghari","5"
"92","5","Kab. Muaro Jambi","5"
"93","6","Kab. Tanjung Jabung Barat","5"
"94","7","Kab. Tanjung Jabung Timur","5"
"95","8","Kab. Bungo","5"
"96","9","Kab. Tebo","5"
"97","71","Kota Jambi","5"
"98","72","Kota Sungai Penuh","5"
"99","1","Kab. Ogan Komering Ulu","6"
"100","2","Kab. Ogan Komering Ilir","6"
"101","3","Kab. Muara Enim","6"
"102","4","Kab. Lahat","6"
"103","5","Kab. Musi Rawas","6"
"104","6","Kab. Musi Banyuasin","6"
"105","7","Kab. Banyuasin","6"
"106","8","Kab. Oku Timur","6"
"107","9","Kab. Oku Selatan","6"
"108","10","Kab. Ogan Ilir","6"
"109","11","Kab. Empat Lawang","6"
"110","71","Kota Palembang","6"
"111","72","Kota Pagar Alam","6"
"112","73","Kota Lubuk Linggau","6"
"113","74","Kota Prabumulih","6"
"114","1","Kab. Bengkulu Selatan","7"
"115","2","Kab. Rejang Lebong","7"
"116","3","Kab. Bengkulu Utara","7"
"117","4","Kab. Kaur","7"
"118","5","Kab. Seluma","7"
"119","6","Kab. Muko Muko","7"
"120","7","Kab. Lebong","7"
"121","8","Kab. Kepahiang","7"
"122","9","Kab. Bengkulu Tengah","7"
"123","71","Kota Bengkulu","7"
"124","1","Kab. Lampung Selatan","8"
"125","2","Kab. Lampung Tengah","8"
"126","3","Kab. Lampung Utara","8"
"127","4","Kab. Lampung Barat","8"
"128","5","Kab. Tulang Bawang","8"
"129","6","Kab. Tanggamus","8"
"130","7","Kab. Lampung Timur","8"
"131","8","Kab. Way Kanan","8"
"132","9","Kab. Pesawaran","8"
"133","10","Kab. Pringsewu","8"
"134","11","Kab. Mesuji","8"
"135","12","Kab. Tulang Bawang Barat","8"
"136","71","Kota Bandar Lampung","8"
"137","72","Kota Metro","8"
"138","1","Kab. Bangka","9"
"139","2","Kab. Belitung","9"
"140","3","Kab. Bangka Selatan","9"
"141","4","Kab. Bangka Tengah","9"
"142","5","Kab. Bangka Barat","9"
"143","6","Kab. Belitung Timur","9"
"144","71","Kota Pangkal Pinang","9"
"145","1","Kab. Bintan","10"
"146","2","Kab. Karimun","10"
"147","3","Kab. Natuna","10"
"148","4","Kab. Lingga","10"
"149","5","Kab. Kepulauan Anambas","10"
"150","71","Kota Batam","10"
"151","72","Kota Tanjung Pinang","10"
"152","1","Kab. Adm. Kep. Seribu","11"
"153","71","Kota Adm. Jakarta Pusat","11"
"154","72","Kota Adm. Jakarta Utara","11"
"155","73","Kota Adm. Jakarta Barat","11"
"156","74","Kota Adm. Jakarta Selatan","11"
"157","75","Kota Adm. Jakarta Timur","11"
"158","1","Kab. Bogor","12"
"159","2","Kab. Sukabumi","12"
"160","3","Kab. Cianjur","12"
"161","4","Kab. Bandung","12"
"162","5","Kab. Garut","12"
"163","6","Kab. Tasikmalaya","12"
"164","7","Kab. Ciamis","12"
"165","8","Kab. Kuningan","12"
"166","9","Kab. Cirebon","12"
"167","10","Kab. Majalengka","12"
"168","11","Kab. Sumedang","12"
"169","12","Kab. Indramayu","12"
"170","13","Kab. Subang","12"
"171","14","Kab. Purwakarta","12"
"172","15","Kab. Karawang","12"
"173","16","Kab. Bekasi","12"
"174","17","Kab. Bandung Barat","12"
"175","71","Kota Bogor","12"
"176","72","Kota Sukabumi","12"
"177","73","Kota Bandung","12"
"178","74","Kota Cirebon","12"
"179","75","Kota Bekasi","12"
"180","76","Kota Depok","12"
"181","77","Kota Cimahi","12"
"182","78","Kota Tasikmalaya","12"
"183","79","Kota Banjar","12"
"184","1","Kab. Cilacap","13"
"185","2","Kab. Banyumas","13"
"186","3","Kab. Purbalingga","13"
"187","4","Kab. Banjarnegara","13"
"188","5","Kab. Kebumen","13"
"189","6","Kab. Purworejo","13"
"190","7","Kab. Wonosobo","13"
"191","8","Kab. Magelang","13"
"192","9","Kab. Boyolali","13"
"193","10","Kab. Klaten","13"
"194","11","Kab. Sukoharjo","13"
"195","12","Kab. Wonogiri","13"
"196","13","Kab. Karanganyar","13"
"197","14","Kab. Sragen","13"
"198","15","Kab. Grobogan","13"
"199","16","Kab. Blora","13"
"200","17","Kab. Rembang","13"
"201","18","Kab. Pati","13"
"202","19","Kab. Kudus","13"
"203","20","Kab. Jepara","13"
"204","21","Kab. Demak","13"
"205","22","Kab. Semarang","13"
"206","23","Kab. Temanggung","13"
"207","24","Kab. Kendal","13"
"208","25","Kab. Batang","13"
"209","26","Kab. Pekalongan","13"
"210","27","Kab. Pemalang","13"
"211","28","Kab. Tegal","13"
"212","29","Kab. Brebes","13"
"213","71","Kota Magelang","13"
"214","72","Kota Surakarta","13"
"215","73","Kota Salatiga","13"
"216","74","Kota Semarang","13"
"217","75","Kota Pekalongan","13"
"218","76","Kota Tegal","13"
"219","1","Kab. Kulon Progo","14"
"220","2","Kab. Bantul","14"
"221","3","Kab. Gunung Kidul","14"
"222","4","Kab. Sleman","14"
"223","71","Kota Yogyakarta","14"
"224","1","Kab. Pacitan","15"
"225","2","Kab. Ponorogo","15"
"226","3","Kab. Trenggalek","15"
"227","4","Kab. Tulungagung","15"
"228","5","Kab. Blitar","15"
"229","6","Kab. Kediri","15"
"230","7","Kab. Malang","15"
"231","8","Kab. Lumajang","15"
"232","9","Kab. Jember","15"
"233","10","Kab. Banyuwangi","15"
"234","11","Kab. Bondowoso","15"
"235","12","Kab. Situbondo","15"
"236","13","Kab. Probolinggo","15"
"237","14","Kab. Pasuruan","15"
"238","15","Kab. Sidoarjo","15"
"538","22","Kab. Malaka","19"
