station_sk_id,bulan,persen_temp_07lt_c,persen_temp_13lt_c,persen_temp_18lt_c,persen_temp_avg_c,persen_temp_max_c,persen_temp_min_c,persen_rainfall_mm,persen_sunshine_h,persen_weather_specific,persen_pressure_mb,persen_rel_humidity_07lt_pc,persen_rel_humidity_13lt_pc,persen_rel_humidity_18lt_pc,persen_rel_humidity_avg_pc,persen_wind_speed_avg_km_h,persen_wind_dir_max,persen_wind_speed_max_knots,persen_wind_dir_cardinal
2,202407,77.42,77.42,77.42,77.42,77.42,77.42,77.42,77.42,67.74,77.42,77.42,77.42,77.42,77.42,77.42,77.42,77.42,77.42
2,202408,100.0,100.0,100.0,74.19,100.0,100.0,100.0,100.0,96.77,100.0,100.0,100.0,100.0,64.52,100.0,100.0,100.0,100.0
2,202409,100.0,100.0,100.0,90.0,100.0,100.0,100.0,100.0,0.0,100.0,100.0,100.0,100.0,90.0,100.0,100.0,100.0,100.0
2,202410,100.0,100.0,100.0,100.0,100.0,100.0,100.0,96.77,0.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0
2,202411,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,0.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0
2,202412,100.0,100.0,100.0,100.0,100.0,100.0,100.0,96.77,0.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0
2,202501,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,0.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0
2,202502,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,0.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0
2,202503,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,0.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0
2,202505,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,0.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0
2,202506,100.0,100.0,100.0,100.0,100.0,100.0,100.0,96.67,0.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0
2,202507,61.29,61.29,54.84,54.84,54.84,61.29,61.29,61.29,58.06,54.84,61.29,61.29,54.84,54.84,61.29,61.29,61.29,61.29
4,202407,41.94,41.94,41.94,29.03,41.94,41.94,41.94,35.48,38.71,41.94,41.94,41.94,41.94,29.03,54.84,54.84,54.84,54.84
4,202408,100.0,100.0,100.0,96.77,100.0,100.0,100.0,87.1,100.0,100.0,100.0,100.0,100.0,96.77,100.0,100.0,100.0,100.0
4,202409,100.0,96.67,96.67,83.33,96.67,96.67,100.0,90.0,0.0,96.67,100.0,96.67,96.67,83.33,100.0,100.0,100.0,100.0
4,202410,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,0.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0
4,202411,100.0,100.0,96.67,96.67,96.67,100.0,100.0,80.0,0.0,96.67,100.0,100.0,96.67,96.67,100.0,100.0,100.0,100.0
4,202412,100.0,100.0,100.0,100.0,100.0,100.0,100.0,90.32,3.23,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0
4,202501,100.0,96.77,100.0,96.77,100.0,96.77,100.0,90.32,0.0,100.0,100.0,96.77,100.0,96.77,100.0,100.0,100.0,100.0
4,202502,100.0,100.0,96.43,96.43,96.43,100.0,100.0,92.86,0.0,96.43,100.0,100.0,96.43,96.43,100.0,100.0,100.0,100.0
4,202503,100.0,93.55,96.77,90.32,96.77,93.55,100.0,96.77,0.0,96.77,100.0,93.55,96.77,90.32,100.0,100.0,100.0,100.0
4,202505,100.0,96.77,100.0,96.77,100.0,96.77,100.0,100.0,0.0,100.0,100.0,96.77,100.0,96.77,100.0,100.0,100.0,100.0
4,202506,100.0,100.0,96.67,96.67,96.67,100.0,100.0,100.0,0.0,96.67,100.0,100.0,96.67,96.67,100.0,100.0,100.0,100.0
4,202507,61.29,61.29,61.29,61.29,61.29,61.29,61.29,58.06,61.29,61.29,61.29,61.29,61.29,61.29,61.29,61.29,61.29,61.29
5,202407,74.19,0.0,0.0,0.0,0.0,0.0,74.19,6.45,74.19,0.0,74.19,0.0,0.0,0.0,74.19,74.19,74.19,74.19
5,202408,100.0,100.0,100.0,100.0,100.0,100.0,100.0,3.23,87.1,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0
5,202409,100.0,100.0,100.0,100.0,100.0,100.0,100.0,40.0,0.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0
5,202410,100.0,100.0,100.0,100.0,100.0,100.0,100.0,29.03,0.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0
5,202411,100.0,100.0,100.0,100.0,100.0,100.0,100.0,50.0,0.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0
5,202412,100.0,100.0,100.0,100.0,100.0,100.0,100.0,90.32,6.45,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0
5,202501,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,3.23,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0
